date value parameter land_use
2012-1-19 0.344349 theta_soil loc2
2012-1-19 0 dsc loc2
2012-1-19 0 infil2 loc3
2012-1-19 0 infil loc3
2012-1-19 0 toDistribute loc3
2012-1-19 0 dailySurplus loc3
2012-1-19 225 availablePoreDepth loc3
2012-1-19 500 EHD loc3
2012-1-19 3583.74 SD loc3
2012-1-19 -4.08374 G loc3
2012-1-19 0.45 theta_EHD loc3
2012-1-19 225 sw_EHD loc3
2012-1-19 0.449837 theta_soil loc3
2012-1-19 0 dsc loc3
2012-1-20 0 infil2 loc1
2012-1-20 0 infil loc1
2012-1-20 0 toDistribute loc1
2012-1-20 0 dailySurplus loc1
2012-1-20 7.88835 availablePoreDepth loc1
2012-1-20 111.111 EHD loc1
2012-1-20 2140.03 SD loc1
2012-1-20 -2.25114 G loc1
2012-1-20 0.379005 theta_EHD loc1
2012-1-20 42.1116 sw_EHD loc1
2012-1-20 0.276059 theta_soil loc1
2012-1-20 0.0616645 dsc loc1
2012-1-20 0 infil2 loc2
2012-1-20 0 infil loc2
2012-1-20 0 toDistribute loc2
2012-1-20 0 dailySurplus loc2
2012-1-20 36.0437 availablePoreDepth loc2
2012-1-20 250 EHD loc2
2012-1-20 3568.77 SD loc2
2012-1-20 -3.81877 G loc2
2012-1-20 0.355825 theta_EHD loc2
2012-1-20 88.9563 sw_EHD loc2
2012-1-20 0.344362 theta_soil loc2
2012-1-20 0 dsc loc2
2012-1-20 0 infil2 loc3
2012-1-20 0 infil loc3
2012-1-20 0 toDistribute loc3
2012-1-20 0 dailySurplus loc3
2012-1-20 225 availablePoreDepth loc3
2012-1-20 500 EHD loc3
2012-1-20 3583.82 SD loc3
2012-1-20 -4.08382 G loc3
2012-1-20 0.45 theta_EHD loc3
2012-1-20 225 sw_EHD loc3
2012-1-20 0.449828 theta_soil loc3
2012-1-20 0 dsc loc3
2012-1-21 0 infil2 loc1
2012-1-21 0 infil loc1
2012-1-21 0 toDistribute loc1
2012-1-21 0 dailySurplus loc1
2012-1-21 7.88835 availablePoreDepth loc1
2012-1-21 111.111 EHD loc1
2012-1-21 2139.99 SD loc1
2012-1-21 -2.2511 G loc1
2012-1-21 0.379005 theta_EHD loc1
2012-1-21 42.1116 sw_EHD loc1
2012-1-21 0.276065 theta_soil loc1
2012-1-21 0.0616645 dsc loc1
2012-1-21 0 infil2 loc2
2012-1-21 0 infil loc2
2012-1-21 0 toDistribute loc2
2012-1-21 0 dailySurplus loc2
2012-1-21 36.0437 availablePoreDepth loc2
2012-1-21 250 EHD loc2
2012-1-21 3568.63 SD loc2
2012-1-21 -3.81863 G loc2
