date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2012-11-30 7664.27 169825 4.65196 0 0 0 0
2012-12-1 5258.34 170018 4.63626 0 0 0 0
2012-12-2 5259.37 137718 4.59055 0 0 0 0
2012-12-3 5284.68 138728 4.62047 0 0 0 0
2012-12-4 5304.16 140812 4.6857 0 0 0 0
2012-12-5 5319.85 140043 4.71242 0 0 0 0
2012-12-6 5338.37 141861 4.6896 0 0 0 0
2012-12-7 5357.48 143003 4.66853 0 0 0 0
2012-12-8 5358.3 143343 4.64556 0 0 0 0
2012-12-9 5373.29 144339 4.72007 0 0 0 0
2012-12-10 5396.72 146177 4.73946 0 0 0 0
2012-12-11 5430.93 145482 4.71219 0 0 0 0
2012-12-12 5422.6 148003 4.68585 0 0 0 0
2012-12-13 5438.04 148190 4.73333 0 0 0 0
2012-12-14 5452.59 149107 4.70421 0 0 0 0
2012-12-15 5466.9 150117 4.68699 0 0 0 0
2012-12-16 5485.35 151161 4.71592 0 0 0 0
2012-12-17 18696.8 151997 4.72476 0 0 0 0
2012-12-18 14336.5 81135.5 4.64949 0 0 0 0
2012-12-19 11908.3 187347 4.72592 0 0 0 0
2012-12-20 10068.9 188912 4.67529 0 0 0 0
2012-12-21 5550.18 155044 4.7532 0 0 0 0
2012-12-22 5571.54 157506 4.7385 0 0 0 0
2012-12-23 5583.08 157853 4.79137 0 0 0 0
2012-12-24 5604.22 158743 4.74536 0 0 0 0
2012-12-25 5618.17 159768 4.78326 0 0 0 0
2012-12-26 5635.94 160893 4.75515 0 0 0 0
2012-12-27 5646.89 161822 4.79242 0 0 0 0
2012-12-28 14427.3 163170 4.82522 0 0 0 0
2012-12-29 5676.2 164526 4.85291 0 0 0 0
2012-12-30 5683.48 164367 4.65507 0 0 0 0
2012-12-31 25142.9 161616 4.76381 0 0 0 0
2013-1-1 20585.8 155596 4.78917 0 0 0 0
2013-1-2 13215.2 179419 4.83305 0 0 0 0
2013-1-3 5760.21 175343 4.73987 0 0 0 0
2013-1-4 14764.6 100878 4.88724 0 0 0 0
2013-1-5 11600.5 214112 4.84521 0 0 0 0
2013-1-6 10641.6 204726 4.85799 0 0 0 0
2013-1-7 9945.9 171803 4.70912 0 0 0 0
2013-1-8 9491.91 175372 4.75317 0 0 0 0
2013-1-9 8662.77 174175 4.86875 0 0 0 0
2013-1-10 8320.61 174862 4.91296 0 0 0 0
2013-1-11 8148.1 176955 4.75391 0 0 0 0
2013-1-12 5948.86 177598 4.75227 0 0 0 0
2013-1-13 5960 178808 4.81214 0 0 0 0
2013-1-14 5980.25 179713 4.89895 0 0 0 0
2013-1-15 6004.58 180673 4.77054 0 0 0 0
2013-1-16 6039.1 181819 4.81416 0 0 0 0
2013-1-17 6046.5 182768 4.8519 0 0 0 0
