date Q_m3d source
2012-6-16 28396.7 overland
2012-6-16 3.47836 stream
2012-6-16 0 lake
2012-6-17 15956.4 drain
2012-6-17 36356.4 overland
2012-6-17 3.33462 stream
2012-6-17 0 lake
2012-6-18 23655.4 drain
2012-6-18 83026.2 overland
2012-6-18 3.41793 stream
2012-6-18 0 lake
2012-6-19 11816 drain
2012-6-19 19201.7 overland
2012-6-19 3.35453 stream
2012-6-19 0 lake
2012-6-20 12448.2 drain
2012-6-20 15803.9 overland
2012-6-20 3.44058 stream
2012-6-20 0 lake
2012-6-21 10874.8 drain
2012-6-21 22187.2 overland
2012-6-21 3.45584 stream
2012-6-21 0 lake
2012-6-22 10167.2 drain
2012-6-22 22614 overland
2012-6-22 3.45079 stream
2012-6-22 0 lake
2012-6-23 9567.34 drain
2012-6-23 34492.1 overland
2012-6-23 3.54886 stream
2012-6-23 0 lake
2012-6-24 11492 drain
2012-6-24 27395.4 overland
2012-6-24 3.48224 stream
2012-6-24 0 lake
2012-6-25 15452.7 drain
2012-6-25 42809.9 overland
2012-6-25 3.55926 stream
2012-6-25 0 lake
2012-6-26 14566.3 drain
2012-6-26 36098.9 overland
2012-6-26 3.4497 stream
2012-6-26 0 lake
2012-6-27 13499.2 drain
2012-6-27 20497.5 overland
2012-6-27 3.49631 stream
2012-6-27 0 lake
2012-6-28 11766.4 drain
2012-6-28 22138.2 overland
2012-6-28 3.55983 stream
2012-6-28 0 lake
2012-6-29 10863.3 drain
2012-6-29 26169.6 overland
2012-6-29 3.49773 stream
2012-6-29 0 lake
2012-6-30 10299.9 drain
2012-6-30 30701.5 overland
2012-6-30 3.59134 stream
2012-6-30 0 lake
2012-7-1 29268.4 drain
2012-7-1 109557 overland
2012-7-1 3.53051 stream
2012-7-1 0 lake
2012-7-2 12233.1 drain
2012-7-2 24079.4 overland
2012-7-2 3.53433 stream
2012-7-2 0 lake
2012-7-3 18216.4 drain
2012-7-3 41068.2 overland
2012-7-3 3.60153 stream
2012-7-3 0 lake
2012-7-4 12717.1 drain
2012-7-4 14994.4 overland
2012-7-4 3.53076 stream
2012-7-4 0 lake
2012-7-5 11540.5 drain
2012-7-5 31289.4 overland
2012-7-5 3.55911 stream
2012-7-5 0 lake
2012-7-6 10665.5 drain
2012-7-6 32072.2 overland
2012-7-6 3.60515 stream
2012-7-6 0 lake
2012-7-7 9890.01 drain
2012-7-7 27810 overland
2012-7-7 3.62647 stream
2012-7-7 0 lake
2012-7-8 15493.4 drain
2012-7-8 47885 overland
2012-7-8 3.69771 stream
2012-7-8 0 lake
2012-7-9 13680.2 drain
2012-7-9 31195.2 overland
2012-7-9 3.63949 stream
2012-7-9 0 lake
2012-7-10 20401.3 drain
2012-7-10 70510.1 overland
2012-7-10 3.64998 stream
2012-7-10 0 lake
2012-7-11 12411.3 drain
2012-7-11 20091.9 overland
2012-7-11 3.61908 stream
2012-7-11 0 lake
2012-7-12 19210 drain
2012-7-12 52440.2 overland
2012-7-12 3.54603 stream
2012-7-12 0 lake
2012-7-13 14456.6 drain
2012-7-13 18715.9 overland
2012-7-13 3.61497 stream
2012-7-13 0 lake
2012-7-14 16177.5 drain
2012-7-14 52106.2 overland
2012-7-14 3.62588 stream
2012-7-14 0 lake
2012-7-15 17816.9 drain
